[texto1] [polícia=homem]
[soldado] [de]
[de] [facção]
[facção] [com]
[com] [perfil]
[perfil] [procurar]
[procurar] [proteger]
[proteger] [por]
[por] [líder]
[líder] [nem]
[nem] [conhecer]
[conhecer] [trabalhador]
[trabalhador] [também]
[também] [não]
[não] [mexer]
[mexer] [com]
[com] [família]
[família] [só]
[só] [mato]
[mato] [vagabundo]
[vagabundo] [dar]
[dar] [ter]
[ter] [dar]
[dar] [por]
[por] [matar]
[matar] [pronto]
[pronto] [não]
[não] [ser]
[ser] [mais]
[mais] [soldado]
[soldado] [dizer]
[dizer] [garantir]
[garantir] [já]
[já] [matar]
[matar] [antes]
[antes] [de]
[de] [crime]
[crime] [de]
[de] [dia]
[dia] [de]
[de] [maio]
[maio] [em]
[em] [mathias=velho]
[mathias=velho] [em]
[em] [vez]
[vez] [anterior]
[anterior] [revelar]
[revelar] [abraçar]
[abraçar] [bronca]
[bronca] [adolescente]
[adolescente] [matar]
[matar] [para]
[para] [ganhar]
[ganhar] [prestígio]
[prestígio] [suspeito]
[suspeito] [de]
[de] [polícia]
[polícia] [ser]
[ser] [de]
[de] [soldado]
[soldado] [de]
[de] [exército]
[exército] [de]
[de] [tráfico]
[tráfico] [sair]
[sair] [de]
[de] [bom=jesus]
[bom=jesus] [mario=quintana]
[mario=quintana] [vila=esqueleto]
[vila=esqueleto] [vila=mapa]
[vila=mapa] [vila=dos=sargentos]
[vila=dos=sargentos] [local]
[local] [de]
[de] [porto=alegre]
[porto=alegre] [onde]
[onde] [bala]
[bala] [já]
[já] [conseguir]
[conseguir] [construir]
[construir] [base]
[base] [muito]
[muito] [sólido]
[sólido] [ser]
[ser] [principal]
[principal] [comandar]
[comandar] [para]
[para] [missão]
[missão] [em]
[em] [área]
[área] [aliado]
[aliado] [matar]
[matar] [segundo]
[segundo] [investigador]
[investigador] [de]
[de] [canoa]
[canoa] [por]
[por] [prestígio]
[prestígio] [dentro=de]
[dentro=de] [organização]
[organização] [imaginar]
[imaginar] [caso]
[caso] [de]
[de] [menino]
[menino] [sem]
[sem] [perspectiva]
[perspectiva] [ganhar]
[ganhar] [pistola]
[pistola] [pagamento]
[pagamento] [para]
[para] [ser]
[ser] [status]
[status] [entre]
[entre] [criminoso]
[criminoso] [resumir]
[resumir] [delegado]
[delegado] [marco=antônio=guns]

[texto12] [traficante]
[traficante] [em]
[em] [topo]
[topo] [de]
[de] [listão]
[listão] [avanço]
[avanço] [de]
[de] [tráfico]
[tráfico] [mudar]
[mudar] [perfil]
[perfil] [de]
[de] [prioridade]
[prioridade] [em]
[em] [busca]
[busca] [de]
[de] [polícia=civil]
[polícia=civil] [principal]
[principal] [procurar]
[procurar] [de]
[de] [estado]
[estado] [ser]
[ser] [considerar]
[considerar] [financiador]
[financiador] [de]
[de] [violência]
[violência] [eduardo=torres]
[eduardo=torres] [eduardo.torres@diariogaucho.com.br]
[eduardo.torres@diariogaucho.com.br] [ano]
[ano] [depois]
[depois] [de]
[de] [divulgação]
[divulgação] [de]
[de] [último]
[último] [lista]
[lista] [característica]
[característica] [de]
[de] [criminoso]
[criminoso] [muito]
[muito] [procurar]
[procurar] [por]
[por] [autoridade]
[autoridade] [de]
[de] [segurança]
[segurança] [começar]
[começar] [a]
[a] [mudar]
[mudar] [antes]
[antes] [ladrão]
[ladrão] [de]
[de] [banco]
[banco] [ocupar]
[ocupar] [lugar]
[lugar] [quase]
[quase] [exclusivo]
[exclusivo] [em]
[em] [busca]
[busca] [agora]
[agora] [tráfico]
[tráfico] [de]
[de] [droga]
[droga] [ser]
[ser] [muito]
[muito] [mobilizar]
[mobilizar] [polícia=civil]
[polícia=civil] [para]
[para] [diretor]
[diretor] [de]
[de] [investigação]
[investigação] [de]
[de] [denarc]
[denarc] [delegar]
[delegar] [heliomar=franco]
[heliomar=franco] [explicação]
[explicação] [poder]
[poder] [estar]
[estar] [em]
[em] [mudança]
[mudança] [de]
[de] [atividade]
[atividade] [por]
[por] [bandidagem]
[bandidagem] [desde]
[desde] [salientar]
[salientar] [bom]
[bom] [parte]
[parte] [de]
[de] [traficante]
[traficante] [prender]
[prender] [em]
[em] [região=metropolitana]
[região=metropolitana] [haver]
[haver] [migrar]
[migrar] [de]
[de] [roubo]
[roubo] [para]
[para] [boca]
[boca] [de]
[de] [fumo]
[fumo] [em]
[em] [busca]
[busca] [de]
[de] [grande]
[grande] [rentabilidade]
[rentabilidade] [risco]
[risco] [tráfico]
[tráfico] [sustentar]
[sustentar] [organização]
[organização] [droga]
[droga] [ser]
[ser] [alicerce]
[alicerce] [de]
[de] [principal]
[principal] [organização]
[organização] [criminoso]
[criminoso] [em=atividade]
[em=atividade] [em]
[em] [estado]
[estado] [a=partir=de]
[a=partir=de] [cadeia]
[cadeia] [intercâmbio]
[intercâmbio] [entre]
[entre] [traficante]
[traficante] [ladrão]
[ladrão] [de]
[de] [banco]
[banco] [carro]
[carro] [não]
[não] [ser]
[ser] [raro]
[raro] [além=de]
[além=de] [dinheiro]
[dinheiro] [de]
[de] [crime]
[crime] [tráfico]
[tráfico] [de]
[de] [droga]
[droga] [também]
[também] [ser]
[ser] [apontar]
[apontar] [como]
[como] [responsável]
[responsável] [por]
[por] [até]
[até] [%]
[%] [de]
[de] [homicídio]
[homicídio] [em]
[em] [região]
[região] [já]
[já] [acontecer]
[acontecer] [em]
[em] [estado]
[estado] [continuar]
[continuar] [sem]
[sem] [trabalhar]
[trabalhar] [com]
[com] [lista]
[lista] [oficial]
[oficial] [de]
[de] [muito]
[muito] [procurar]
[procurar] [haver]
[haver] [sim]
[sim] [cadastro]
[cadastro] [em]
[em] [site]
[site] [de]
[de] [polícia=civil]
[polícia=civil] [com]
[com] [procurar]
[procurar] [sapo]
[sapo] [estar]
[estar] [em]
[em] [lista]
[lista] [de]
[de] [interpol]
[interpol] [o]
[o] [procurar]
[procurar] [número]
[número] [para]
[para] [polícia]
[polícia] [poder]
[poder] [ser]
[ser] [resposta]
[resposta] [a]
[a] [investigação]
[investigação] [tentar]
[tentar] [desvendar]
[desvendar] [como]
[como] [facção]
[facção] [de]
[de] [bala]
[bala] [em]
[em] [cara]
[cara] [conseguir]
[conseguir] [segurança]
[segurança] [em]
[em] [fornecimento]
[fornecimento] [de]
[de] [droga]
[droga] [a]
[a] [parceiro]
[parceiro] [osni=valdemir=de=mello]
[osni=valdemir=de=mello] [sapo]
[sapo] [ano]
[ano] [transitar]
[transitar] [entre]
[entre] [brasil]
[brasil] [paraguai]
[paraguai] [ser]
[ser] [apontar]
[apontar] [como]
[como] [novo]
[novo] [barão]
[barão] [de]
[de] [droga]
[droga] [em]
[em] [rio=grande=do=sul]
[rio=grande=do=sul] [não]
[não] [haver]
[haver] [dúvida]
[dúvida] [de]
[de] [homem]
[homem] [manter]
[manter] [forte]
[forte] [rede]
[rede] [de]
[de] [contato]
[contato] [em]
[em] [região]
[região] [de]
[de] [estado]
[estado] [em]
[em] [fronteira]
[fronteira] [de]
[de] [país]
[país] [de]
[de] [onde]
[onde] [fazer]
[fazer] [entrar]
[entrar] [cocaína]
[cocaína] [explicar]
[explicar] [delegado]
[delegado] [thiago=bennemann]
[thiago=bennemann] [de]
[de] [denarc]
[denarc] [delegado]
[delegado] [rodrigo=zucco]
[rodrigo=zucco] [também]
[também] [de]
[de] [departamento]
[departamento] [admitir]
[admitir] [osni]
[osni] [ser]
[ser] [investigar]
[investigar] [como]
[como] [possível]
[possível] [fornecedor]
[fornecedor] [de]
[de] [bala]
[bala] [investigador]
[investigador] [não]
[não] [creer]
[creer] [sapo]
[sapo] [fornecer]
[fornecer] [droga]
[droga] [exclusivo]
[exclusivo] [para]
[para] [bando]
[bando] [ser]
[ser] [elo]
[elo] [entre]
[entre] [cartel]
[cartel] [de]
[de] [droga]
[droga] [distribuidor]
[distribuidor] [em]
[em] [estado]
[estado] [nome]
[nome] [figura]
[figura] [em]
[em] [lista]
[lista] [de]
[de] [muito]
[muito] [procurar]
[procurar] [de]
[de] [interpol]
[interpol] [polícia]
[polícia] [internacional]
[internacional] [influência]
[influência] [de]
[de] [em]
[em] [crescimento]
[crescimento] [de]
[de] [quadrilha]
[quadrilha] [de]
[de] [tráfico]
[tráfico] [em]
[em] [estado]
[estado] [poder]
[poder] [ir]
[ir] [além=de]
[além=de] [simples]
[simples] [venda]
[venda] [de]
[de] [cocaína]
[cocaína] [qualificação]
[qualificação] [de]
[de] [cliente]
[cliente] [em]
[em] [junho]
[junho] [de]
[de] [ano]
[ano] [passado]
[passado] [ação]
[ação] [policial]
[policial] [encontrar]
[encontrar] [mais=de]
[mais=de] [kg]
[kg] [de]
[de] [cocaína]
[cocaína] [crack]
[crack] [em]
[em] [sítio]
[sítio] [de]
[de] [candelária]
[candelária] [a]
[a] [km]
[km] [de]
[de] [capital]
[capital] [em]
[em] [operação]
[operação] [agente]
[agente] [de]
[de] [defrec=de=santa=cruz=do=sul]
[defrec=de=santa=cruz=do=sul] [descobrir]
[descobrir] [químico]
[químico] [fazer]
[fazer] [visita]
[visita] [freqüente]
[freqüente] [a]
[a] [local]
[local] [para]
[para] [ensinar]
[ensinar] [a]
[a] [transformar]
[transformar] [cocaína]
[cocaína] [em]
[em] [crack]
[crack] [suspeita]
[suspeita] [ser]
[ser] [de]
[de] [traficante]
[traficante] [também]
[também] [receber]
[receber] [para]
[para] [qualificar]
[qualificar] [cliente]
[cliente] [em]
[em] [ramo]
[ramo] [há]
[há] [ano]
[ano] [em]
[em] [encalço]
[encalço] [de]
[de] [trio]
[trio] [titular]
[titular] [de]
[de] [delegacia=de=roubos=do=deic]
[delegacia=de=roubos=do=deic] [delegar]
[delegar] [joel=wagner]
[joel=wagner] [evitar]
[evitar] [detalhe]
[detalhe] [a]
[a] [falar]
[falar] [de]
[de] [criminoso]
[criminoso] [remanescente]
[remanescente] [em]
[em] [lista]
[lista] [de]
[de] [procurar]
[procurar] [de]
[de] [admitir]
[admitir] [principal]
[principal] [alvo]
[alvo] [provavelmente]
[provavelmente] [ainda]
[ainda] [ativo]
[ativo] [ser]
[ser] [igor=machado]
[igor=machado] [nenê]
[nenê] [ano]
[ano] [figurar]
[figurar] [em]
[em] [busca]
[busca] [desde]
[desde] [ao=contrário=de]
[ao=contrário=de] [lógica]
[lógica] [de]
[de] [trocar]
[trocar] [roubo]
[roubo] [por]
[por] [tráfico]
[tráfico] [suspeita]
[suspeita] [ser]
[ser] [de]
[de] [provavelmente]
[provavelmente] [fora=de]
[fora=de] [estado]
[estado] [ter]
[ter] [migrar]
[migrar] [para]
[para] [assalto]
[assalto] [no=entanto]
[no=entanto] [não]
[não] [haver]
[haver] [informação]
[informação] [sobre]
[sobre] [paradeiro]
[paradeiro] [de]
[de] [lista]
[lista] [de]
[de] [procurar]
[procurar] [ser]
[ser] [prender]
[prender] [outro]
[outro] [morrer]
[morrer] [gilmar=dos=santos]
[gilmar=dos=santos] [nenê=gordo]
[nenê=gordo] [ser]
[ser] [matar]
[matar] [a]
[a] [tiro]
[tiro] [em]
[em] [confronto]
[confronto] [com]
[com] [polícia]
[polícia] [paraguaio]
[paraguaio] [em]
[em] [março]
[março] [de]
[de] [ano]
[ano] [passado]
[passado] [quando]
[quando] [tentar]
[tentar] [roubar]
[roubar] [joalheria]
[joalheria] [em]
[em] [país]
[país] [vizinho]
[vizinho] [responder]
[responder] [por]
[por] [assalto]
[assalto] [pelo=menos]
[pelo=menos] [homicídio]
[homicídio] [milico]
[milico] [cair]
[cair] [com]
[com] [carro]
[carro] [roubar]
[roubar] [lista]
[lista] [de]
[de] [muito]
[muito] [procurar]
[procurar] [diminuir]
[diminuir] [em]
[em] [noite]
[noite] [de]
[de] [quinta-feira]
[quinta-feira] [durante]
[durante] [operação=mãos=de=ferro]
[operação=mãos=de=ferro] [de]
[de] [delegacia=de=roubos=de=veículos=do=deic]
[delegacia=de=roubos=de=veículos=do=deic] [ler]
[ler] [em]
[em] [página]
[página] [assaltante]
[assaltante] [claison=rodrigues=pereira]
[claison=rodrigues=pereira] [milico]
[milico] [ano]
[ano] [estar]
[estar] [foragir]
[foragir] [desde]
[desde] [ano]
[ano] [passado]
[passado] [ser]
[ser] [flagrar]
[flagrar] [em]
[em] [bairro=jardim=itu=sabará]
[bairro=jardim=itu=sabará] [em]
[em] [zona=norte=da=capital]
[zona=norte=da=capital] [com]
[com] [sentra]
[sentra] [roubar]
[roubar] [em]
[em] [terça-feira]
[terça-feira] [a]
[a] [noite]
[noite] [estar]
[estar] [monitorar]
[monitorar] [movimentação]
[movimentação] [de]
[de] [desde]
[desde] [começo]
[começo] [de]
[de] [ano]
[ano] [apurar]
[apurar] [estar]
[estar] [migrar]
[migrar] [de]
[de] [roubo]
[roubo] [a]
[a] [banco]
[banco] [para]
[para] [de]
[de] [veículo]
[veículo] [explicar]
[explicar] [delegado]
[delegado] [juliano=ferreira]
[juliano=ferreira] [milico]
[milico] [ser]
[ser] [parceiro]
[parceiro] [de]
[de] [josé=carlos=dos=santos]
[josé=carlos=dos=santos] [seco]
[seco] [entre=2005=e=2006]
[entre=2005=e=2006] [entre]
[entre] [estar]
[estar] [foragir]
[foragir] [de]
[de] [instituto=penal=de=charqueadas]
[instituto=penal=de=charqueadas] [desde]
[desde] [para]
[para] [denunciar]
[denunciar] [delegacia=de=capturas]
[delegacia=de=capturas] [hor.]
[hor.] [com.]
[com.] [disque-denúncia]
[disque-denúncia] [hora]
[hora] [procurados=osni=valdemir=de=mello]
[procurados=osni=valdemir=de=mello] [sapo]
[sapo] [a]
[a] [ano]
[ano] [ser]
[ser] [apontar]
[apontar] [como]
[como] [grande]
[grande] [atacadista]
[atacadista] [de]
[de] [cocaína]
[cocaína] [de]
[de] [rio=grande=do=sul]
[rio=grande=do=sul] [ser]
[ser] [natural]
[natural] [de]
[de] [vale=do=rio=pardo]
[vale=do=rio=pardo] [agenor=campos=dos=santos]
[agenor=campos=dos=santos] [nenê]
[nenê] [a]
[a] [ano]
[ano] [ser]
[ser] [de]
[de] [muito]
[muito] [visar]
[visar] [por]
[por] [denarc]
[denarc] [viver]
[viver] [em]
[em] [fronteira]
[fronteira] [entre]
[entre] [brasil]
[brasil] [paraguai]
[paraguai] [ser]
[ser] [contato]
[contato] [de]
[de] [traficante]
[traficante] [de]
[de] [região=metropolitana]
[região=metropolitana] [deivit=luis=pedroso]
[deivit=luis=pedroso] [ter]
[ter] [ano]
[ano] [histórico]
[histórico] [de]
[de] [roubo]
[roubo] [a]
[a] [banco]
[banco] [joalheria]
[joalheria] [carga]
[carga] [ser]
[ser] [de]
[de] [quadrilha]
[quadrilha] [de]
[de] [seco]
[seco] [apontar]
[apontar] [como]
[como] [de]
[de] [líder]
[líder] [de]
[de] [tráfico]
[tráfico] [em]
[em] [sapucaia=do=sul]
[sapucaia=do=sul] [dejair=jorge=dos=santos=reis]
[dejair=jorge=dos=santos=reis] [deja]
[deja] [a]
[a] [ano]
[ano] [ser]
[ser] [remanescente]
[remanescente] [de]
[de] [bando]
[bando] [atacar]
[atacar] [fábrica]
[fábrica] [de]
[de] [jóia]
[jóia] [de]
[de] [cotiporã]
[cotiporã] [em]
[em] [serra]
[serra] [em]
[em] [final]
[final] [de]
[de] [também]
[também] [estar]
[estar] [envolver]
[envolver] [com]
[com] [tráfico]
[tráfico] [mário=sérgio=de=castro=gomes]
[mário=sérgio=de=castro=gomes] [serginho]
[serginho] [ter]
[ter] [ano]
[ano] [estar]
[estar] [com]
[com] [prisão=preventiva]
[prisão=preventiva] [decretar]
[decretar] [por]
[por] [morte]
[morte] [brutal]
[brutal] [de]
[de] [homem]
[homem] [em]
[em] [saída]
[saída] [de]
[de] [baile]
[baile] [em]
[em] [alvorada]
[alvorada] [em]
[em] [fevereiro]
[fevereiro] [fábio=rosa=carvalho]
[fábio=rosa=carvalho] [fábio=noia]
[fábio=noia] [a]
[a] [ano]
[ano] [ser]
[ser] [apontar]
[apontar] [como]
[como] [de]
[de] [líder]
[líder] [de]
[de] [tráfico]
[tráfico] [de]
[de] [canoa]
[canoa] [sair]
[sair] [de]
[de] [cadeia]
[cadeia] [em]
[em] [março]
[março] [ter]
[ter] [prisão=preventiva]
[prisão=preventiva] [decretar]
[decretar] [outra=vez]
[outra=vez] [claison=rodrigues=pereira]
[claison=rodrigues=pereira] [milico]
[milico] [a]
[a] [ano]
[ano] [estar]
[estar] [foragir]
[foragir] [desde]
[desde] [ladrão]
[ladrão] [de]
[de] [banco]
[banco] [joalheria]
[joalheria] [estar]
[estar] [migrar]
[migrar] [para]
[para] [roubo]
[roubo] [de]
[de] [veículo]
[veículo] [ser]
[ser] [prender]
[prender] [em]
[em] [quinto]
[quinto] [alexander=moacir=huhnfleisch]
[alexander=moacir=huhnfleisch] [alemão]
[alemão] [criminoso]
[criminoso] [de]
[de] [ano]
[ano] [ser]
[ser] [especialista]
[especialista] [em]
[em] [sequestro]
[sequestro] [fuga]
[fuga] [já]
[já] [escapar]
[escapar] [de]
[de] [cadeia]
[cadeia] [vez]
[vez] [fabiano=duarte]
[fabiano=duarte] [a]
[a] [ano]
[ano] [já]
[já] [cumprir]
[cumprir] [pena]
[pena] [por]
[por] [receptação]
[receptação] [assalto]
[assalto] [homicídio]
[homicídio] [em]
[em] [fugir]
[fugir] [de]
[de] [presídio=de=taquara]
[presídio=de=taquara] [junto=com]
[junto=com] [gilmar=dos=santos]
[gilmar=dos=santos] [igor=machado]
[igor=machado] [nenê]
[nenê] [a]
[a] [ano]
[ano] [já]
[já] [ser]
[ser] [considerar]
[considerar] [principal]
[principal] [procurar]
[procurar] [de]
[de] [denarc]
[denarc] [ter]
[ter] [voltar]
[voltar] [a]
[a] [roubo]
[roubo] [ser]
[ser] [indiciar]
[indiciar] [por]
[por] [assalto]
[assalto] [homicídio]

[texto13] [morte]
[morte] [duplo]
[duplo] [executar]
[executar] [com]
[com] [tiro]
[tiro] [em]
[em] [rosto]
[rosto] [em]
[em] [barra=do=ribeiro]
[barra=do=ribeiro] [fazer]
[fazer] [número]
[número] [de]
[de] [morte]
[morte] [por]
[por] [homicídio]
[homicídio] [latrocínio]
[latrocínio] [chegar]
[chegar] [a]
[a] [caso]
[caso] [em]
[em] [eduardo=torres]
[eduardo=torres] [eduardo.torres@diariogaucho.com.br]
[eduardo.torres@diariogaucho.com.br] [ataque]
[ataque] [a]
[a] [estilo]
[estilo] [de]
[de] [bala]
[bala] [em]
[em] [cara]
[cara] [manter]
[manter] [em]
[em] [alerta]
[alerta] [polícia]
[polícia] [desde]
[desde] [noite]
[noite] [de]
[de] [sábado]
[sábado] [em]
[em] [região=metropolitana]
[região=metropolitana] [tiago=nunes=leite]
[tiago=nunes=leite] [tiaguinho]
[tiaguinho] [ano]
[ano] [joão=carlos=dos=santos]
[joão=carlos=dos=santos] [garcia=júnior]
[garcia=júnior] [ano]
[ano] [ser]
[ser] [executar]
[executar] [com]
[com] [tiro]
[tiro] [em]
[em] [rosto]
[rosto] [em]
[em] [casa]
[casa] [de]
[de] [região]
[região] [central]
[central] [de]
[de] [barra=do=ribeiro]
[barra=do=ribeiro] [a]
[a] [km]
[km] [de]
[de] [capital]
[capital] [por=volta=de]
[por=volta=de] [min]
[min] [matador]
[matador] [fugir]
[fugir] [em]
[em] [siena]
[siena] [verde]
[verde] [em=direção=a]
[em=direção=a] [guaíba]
[guaíba] [morte]
[morte] [ligar]
[ligar] [a]
[a] [tráfico]
[tráfico] [segundo]
[segundo] [brigada=militar]
[brigada=militar] [homem]
[homem] [ter]
[ter] [estacionar]
[estacionar] [em]
[em] [rua=das=extremosas]
[rua=das=extremosas] [bairro=mate=doce]
[bairro=mate=doce] [em]
[em] [siena]
[siena] [entrar]
[entrar] [em]
[em] [terreno]
[terreno] [onde]
[onde] [acontecer]
[acontecer] [crime]
[crime] [tiaguinho]
[tiaguinho] [joão]
[joão] [ser]
[ser] [abatir]
[abatir] [em]
[em] [varanda]
[varanda] [sem]
[sem] [chance]
[chance] [de]
[de] [defesa]
[defesa] [ser]
[ser] [encontrar]
[encontrar] [cartucho]
[cartucho] [de]
[de] [40.]
[40.] [vizinho]
[vizinho] [dizer]
[dizer] [homem]
[homem] [morar]
[morar] [em]
[em] [casa]
[casa] [de]
[de] [alvenaria]
[alvenaria] [há]
[há] [menos=de]
[menos=de] [mês]
[mês] [não]
[não] [ser]
[ser] [conhecer]
[conhecer] [em]
[em] [região]
[região] [brigada]
[brigada] [acreditar]
[acreditar] [morte]
[morte] [estar]
[estar] [ligar]
[ligar] [a]
[a] [tráfico]
[tráfico] [de]
[de] [droga]
[droga] [circunstância]
[circunstância] [só]
[só] [começar]
[começar] [a]
[a] [ser]
[ser] [investigar]
[investigar] [hoje]
[hoje] [por]
[por] [dp]
[dp] [de]
[de] [barra=do=ribeiro]
[barra=do=ribeiro] [suspeito]
[suspeito] [de]
[de] [bm]
[bm] [ser]
[ser] [de]
[de] [estar]
[estar] [tentar]
[tentar] [estabelecer]
[estabelecer] [ponto]
[ponto] [de]
[de] [tráfico]
[tráfico] [ser]
[ser] [encontrar]
[encontrar] [em]
[em] [casa]
[casa] [hipótese]
[hipótese] [de]
[de] [polícia]
[polícia] [ser]
[ser] [de]
[de] [estar]
[estar] [esconder]
[esconder] [por]
[por] [medo]
[medo] [de]
[de] [bala]
[bala] [em]
[em] [cara]
[cara] [tiago]
[tiago] [ser]
[ser] [investigar]
[investigar] [por]
[por] [denarc]
[denarc] [ter]
[ter] [ligação]
[ligação] [com]
[com] [tráfico]
[tráfico] [em]
[em] [zona=norte=da=capital]
[zona=norte=da=capital] [reduto]
[reduto] [de]
[de] [comando]
[comando] [de]
[de] [bala]
[bala] [homicídio]
[homicídio] [em]
[em] [final=de=semana]
[final=de=semana] [porto=alegre]
[porto=alegre] [karoline=da=silva=tito]
[karoline=da=silva=tito] [ano]
[ano] [ser]
[ser] [matar]
[matar] [com]
[com] [tiro]
[tiro] [em]
[em] [rua=nísia=floresta]
[rua=nísia=floresta] [em]
[em] [bairro=restinga]
[bairro=restinga] [ontem]
[ontem] [por=volta=de]
[por=volta=de] [min]
[min] [gravataí]
[gravataí] [homem]
[homem] [branco]
[branco] [aparentar]
[aparentar] [ano]
[ano] [ser]
[ser] [encontrar]
[encontrar] [morto]
[morto] [com]
[com] [mão]
[mão] [amarrar]
[amarrar] [com]
[com] [fio]
[fio] [de]
[de] [luz]
[luz] [em]
[em] [travessa=ilhéus]
[travessa=ilhéus] [vila=rica]
[vila=rica] [por=volta=de]
[por=volta=de] [de]
[de] [ontem]
[ontem] [são=leopoldo]
[são=leopoldo] [homem]
[homem] [negro]
[negro] [ainda]
[ainda] [não]
[não] [identificar]
[identificar] [usar]
[usar] [abrigo]
[abrigo] [azul]
[azul] [tênis]
[tênis] [branco]
[branco] [ser]
[ser] [encontrar]
[encontrar] [matar]
[matar] [a]
[a] [min]
[min] [de]
[de] [ontem]
[ontem] [em]
[em] [avenida=senador=salgado=filho]
[avenida=senador=salgado=filho] [em]
[em] [bairro=scharlau]
[bairro=scharlau] [canoa]
[canoa] [lindomar=vieira=lopes]
[lindomar=vieira=lopes] [ano]
[ano] [ser]
[ser] [matar]
[matar] [com]
[com] [pelo=menos]
[pelo=menos] [tiro]
[tiro] [de]
[de] [em]
[em] [cabeça]
[cabeça] [por=volta=de]
[por=volta=de] [min]
[min] [de]
[de] [ontem]
[ontem] [em]
[em] [rua=paraná]
[rua=paraná] [bairro=niterói]
[bairro=niterói] [crime]
[crime] [ocorrer]
[ocorrer] [em]
[em] [pátio]
[pátio] [vizinho]
[vizinho] [a]
[a] [casa]
[casa] [onde]
[onde] [lindomar]
[lindomar] [morar]
[morar] [alvorada]
[alvorada] [diego=mancuso=antunes]
[diego=mancuso=antunes] [ano]
[ano] [ser]
[ser] [matar]
[matar] [com]
[com] [pelo=menos]
[pelo=menos] [tiro]
[tiro] [em]
[em] [rua=artur=garcia]
[rua=artur=garcia] [bairro=bela=vista]
[bairro=bela=vista] [por=volta=de]
[por=volta=de] [de]
[de] [sexta]
[sexta] [sapucaia=do=sul]
[sapucaia=do=sul] [josé=amâncio=de=souza=garcia]
[josé=amâncio=de=souza=garcia] [ano]
[ano] [morrer]
[morrer] [em]
[em] [noite]
[noite] [de]
[de] [sábado]
[sábado] [em]
[em] [hospital=getúlio=vargas]
[hospital=getúlio=vargas] [não]
[não] [resistir]
[resistir] [a]
[a] [ferimento]
[ferimento] [de]
[de] [tiro]
[tiro] [ter]
[ter] [ser]
[ser] [ferir]
[ferir] [em]
[em] [sábado]
[sábado] [polícia]
[polícia] [investigar]
[investigar] [caso]
[caso] [sapucaia=do=sul]
[sapucaia=do=sul] [bruno=pereira=dos=santos]
[bruno=pereira=dos=santos] [ano]
[ano] [ser]
[ser] [matar]
[matar] [a]
[a] [tiro]
[tiro] [em]
[em] [partida]
[partida] [de]
[de] [futebol]
[futebol] [em]
[em] [ginásio]
[ginásio] [de]
[de] [escola=municipal=alberto=santos=dumont]
[escola=municipal=alberto=santos=dumont] [em]
[em] [bairro=vargas]
[bairro=vargas] [em]
[em] [começo]
[começo] [de]
[de] [noite]
[noite] [de]
[de] [sexta]
[sexta] [sapiranga]
[sapiranga] [mario=dutra=ramos]
[mario=dutra=ramos] [ano]
[ano] [ser]
[ser] [encontrar]
[encontrar] [matar]
[matar] [com]
[com] [marca]
[marca] [de]
[de] [agressão]
[agressão] [em]
[em] [cabeça]
[cabeça] [a]
[a] [min]
[min] [de]
[de] [ontem]
[ontem] [em]
[em] [rua=osvaldo=cruz]
[rua=osvaldo=cruz] [em]
[em] [bairro=sete=de=setembro]
[bairro=sete=de=setembro] [sapiranga]
[sapiranga] [jonathan=garcia]
[jonathan=garcia] [ano]
[ano] [ser]
[ser] [matar]
[matar] [em]
[em] [tiroteio]
[tiroteio] [na=frente=de]
[na=frente=de] [bar]
[bar] [a]
[a] [de]
[de] [sexta-feira]
[sexta-feira] [em]
[em] [avenida]
[avenida] [de]
[de] [setembro]
[setembro] [em]
[em] [bairro=amaral=ribeiro]
[bairro=amaral=ribeiro] [quase]
[quase] [matar]
[matar] [por]
[por] [dia]
[dia] [duplo]
[duplo] [homicídio]
[homicídio] [em]
[em] [barra=do=ribeiro]
[barra=do=ribeiro] [marcar]
[marcar] [ultrapassagem]
[ultrapassagem] [segundo]
[segundo] [levantamento]
[levantamento] [de]
[de] [diário=gaúcho]
[diário=gaúcho] [de]
[de] [marca]
[marca] [de]
[de] [assassinato]
[assassinato] [em]
[em] [principal]
[principal] [cidade]
[cidade] [de]
[de] [região=metropolitana]
[região=metropolitana] [em]
[em] [com]
[com] [pelo=menos]
[pelo=menos] [homicídio]
[homicídio] [desde]
[desde] [começo]
[começo] [de]
[de] [feriadão]
[feriadão] [de]
[de] [corpus=christi]
[corpus=christi] [listagem]
[listagem] [já]
[já] [apontar]
[apontar] [morte]
[morte] [até]
[até] [a]
[a] [de]
[de] [ontem]
[ontem] [média]
[média] [de]
[de] [por]
[por] [dia]
[dia] [porto=alegre]
[porto=alegre] [canoa]
[canoa] [alvorada]
[alvorada] [seguir]
[seguir] [em]
[em] [primeiro]
[primeiro] [colocação]
[colocação] [entre]
[entre] [cidade]
[cidade] [muito]
[muito] [violento]

[violência=madrinha] [de]
[de] [bebê]
[bebê] [manter]
[manter] [sob]
[sob] [cárcere]
[cárcere] [privado]
[privado] [relatar]
[relatar] [agressão]
[agressão] [constante]
[constante] [de=acordo]
[de=acordo] [com]
[com] [helena=silveira=dos=santos]
[helena=silveira=dos=santos] [homem]
[homem] [roubar]
[roubar] [coisa]
[coisa] [de]
[de] [dentro=de]
[dentro=de] [casa]
[casa] [para]
[para] [comprar]
[comprar] [crack]
[crack] [jerry=eder=aguiar]
[jerry=eder=aguiar] [manter]
[manter] [companheira]
[companheira] [sob]
